new file 
Gene Symbol	Disease	Ensembl ID	Gene ID	OMIM	GeneCards	HugeNavigator	GenAtlas	YFG	PharmGKB	HGMD	EXPASY	WikiGenes	NCBI	GAD	Gene Name	Gene Symbol Synonyms	Gene name Synonyms	Chromosome	Location	PMIDs	# of Refs	# DB	HuGe Prospector Score	pValues	No Association Number	# of GAD Yes	# of GAD No	Final Score	
NLGN3	autism	ENSG00000196338	54413	1	1	1	1	1	1	1	1	1	1	1	neuroligin 3	ASPGX1|AUTSX1|HNL3|KIAA1480	OTTHUMP00000023498	X	Xq13.1	19645625,19058789,18628683,18189281,15389766,15274046,	6	11	0.034		0	0	2	3.6000000000000005	
HLA-DRB1	autism	ENSG00000206240	3123	0	1	1	0	0	0	0	0	0	0	1	"major histocompatibility complex, class II, DR beta 1"	DRB1|DRw10|FLJ75017|FLJ76359|HLA-DR1B|HLA-DRB|HLA-DRB1*|SS1	"Clone P2-beta-4|HLA class II antigen beta chain|HLA class II histocompatibility antigen, DR-1 beta chain|HLA class II histocompatibility antigen, DRB1-10 beta chain|HLA-DR-beta 1|MHC class II HLA-DR beta 1 chain|MHC class II HLA-DR-beta cell surface glycoprotein|MHC class II HLA-DRw10-beta|MHC class II antigen HLA-DR13|cell surface glycoprotein|human leucocyte antigen DRB1|leucocyte antigen DR beta 1 chain|leucocyte antigen DRB1|lymphocyte antigen DRB1"	6	6p21.3	19487610,19058789,17074598,	3	3	0.02		0	1	0	3.6	
GRIK2	autism	ENSG00000164418	2898	0	1	1	0	0	0	0	0	0	0	1	"glutamate receptor, ionotropic, kainate 2"	EAA4|GLR6|GLUK6|GLUR6|MGC74427|MRT6	OTTHUMP00000017949|bA487F5.1|excitatory amino acid receptor 4|glutamate receptor 6	6	6q16.3-q21	17712621,17428563,15094479,	3	3	0.02	P = 0.007 	1	1	0	3.6	
AR	autism	ENSG00000169083	367	0	1	1	0	0	0	0	0	0	0	0	androgen receptor	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	OTTHUMP00000023450|OTTHUMP00000061928|dihydrotestosterone receptor	X	Xq11.2-q12	19598235,19167832,19058789,15091318,	4	2	0.026		0	0	0	3.4000000000000004	
SHANK3	autism		85358	1	1	1	1	0	1	1	1	1	1	0	SH3 and multiple ankyrin repeat domains 3	DEL22q13.3|KIAA1650|PROSAP2|PSAP2|SPANK-2	proline rich synapse associated protein 2|proline-rich synapse-associated protein 2|shank postsynaptic density protein	22	22q13.3	19736351,19384346,19077115,18615476,	4	9	0.026		0	0	0	3.4000000000000004	
TPH1	autism	ENSG00000129167	7166	0	1	1	0	0	0	0	0	0	0	1	tryptophan hydroxylase 1	MGC119994|TPRH|TRPH	L-tryptophan hydroxylase|indoleacetic acid-5-hydroxylase|tryptophan hydroxylase (tryptophan 5-monooxygenase)	11	11p15.3-p14	17406648,18405062,17203304,16958027,	4	3	0.026		3	0	0	3.4000000000000004	
MTHFR	autism	ENSG00000177000	4524	0	1	1	0	0	0	0	0	0	0	0	"5,10-methylenetetrahydrofolate reductase (NADPH)"	-	"5,10-methylenetetrahydrofolate reductase|OTTHUMP00000002367|OTTHUMP00000002368|methylenetetrahydrofolate reductase intermediate form"	1	1p36.3	19440165,19455642,19267885,16917939,	4	2	0.026		0	0	0	3.4000000000000004	
PER1	autism	ENSG00000179094	5187	0	1	1	0	0	0	0	0	0	0	1	period homolog 1 (Drosophila)	MGC88021|PER|RIGUI|hPER	"Period, drosophila, homolog of|circadian pacemaker protein RIGUI|period 1"	17	17p13.1-p12	19058789,17264841,	2	3	0.013		0	1	0	2.6999999999999997	
ADA	autism	ENSG00000196839	100	0	1	1	0	0	0	0	0	0	0	1	adenosine deaminase	-	adenosine aminohydrolase	20	20q12-q13.11	11354825,11121182,	2	3	0.013		1	1	0	2.6999999999999997	
GSTM1	autism	ENSG00000134184	2944	0	1	1	0	0	0	0	0	0	0	1	glutathione S-transferase mu 1	GST1|GSTM1-1|GSTM1a-1a|GSTM1b-1b|GTH4|GTM1|H-B|MGC26563|MU|MU-1	GST class-mu 1|HB subunit 4|OTTHUMP00000013346|OTTHUMP00000013347|S-(hydroxyalkyl)glutathione lyase|glutathione S-alkyltransferase|glutathione S-aralkyltransferase|glutathione S-aryltransferase|glutathione S-transferase M1	1	1p13.3	16917939,16472391,	2	3	0.013		0	1	0	2.6999999999999997	
HTR2C	autism	ENSG00000147246	3358	0	1	1	0	1	1	0	0	1	0	0	5-hydroxytryptamine (serotonin) receptor 2C	5-HT2C|5-HTR2C|HTR1C	OTTHUMP00000023868|OTTHUMP00000023869|serotonin 5-HT-2C receptor|serotonin receptor 2C	X	Xq24	19997080,19058789,19038234,	3	5	0.02		0	0	0	2.6	
DBH	autism	ENSG00000123454	1621	0	1	1	0	0	0	0	0	0	0	0	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	DBM	dopamine beta hydroxylase	9	9q34	19058789,19360691,18207134,	3	2	0.02		0	0	0	2.6	
CHRNA7	autism	ENSG00000175344	1139	0	1	1	0	0	0	0	0	0	0	0	"cholinergic receptor, nicotinic, alpha 7"	CHRNA7-2|NACHRA7	"a7 nicotinic acetylcholine receptor|alpha 7 neuronal nicotinic acetylcholine receptor|alpha-7 nicotinic cholinergic receptor subunit|cholinergic receptor, nicotinic, alpha polypeptide 7|neuronal acetylcholine receptor protein, alpha-7 chain"	15	15q14	19736351,19136953,19058789,	3	2	0.02		0	0	0	2.6	
OXT	autism	ENSG00000101405	5020	0	1	1	0	0	0	0	0	0	0	0	"oxytocin, prepropeptide"	MGC126890|MGC126892|OT|OT-NPI	"OTTHUMP00000030079|neurophysin I|oxytocin, prepro- (neurophysin I)|oxytocin-neurophysin I|oxytocin-neurophysin I, preproprotein"	20	20p13	19598235,19058789,18207134,	3	2	0.02		0	0	0	2.6	
SLC6A3	autism	ENSG00000142319	6531	0	1	1	0	0	0	0	0	0	0	0	"solute carrier family 6 (neurotransmitter transporter, dopamine), member 3"	DAT|DAT1	dopamine transporter|variable number tandem repeat (VNTR)	5	5p15.3	19058789,19120712,19360691,	3	2	0.02		0	0	0	2.6	
DISC1	autism	ENSG00000162946	27185	0	1	1	0	0	1	0	0	0	0	0	disrupted in schizophrenia 1	C1orf136|FLJ13381|FLJ21640|FLJ25311|FLJ41105|KIAA0457|SCZD9	OTTHUMP00000035959|OTTHUMP00000035960	1	1q42.1	19077115,18317464,17579608,	3	3	0.02		0	0	0	2.6	
GLO1	autism	ENSG00000124767	2739	1	1	1	0	1	1	1	0	1	1	1	glyoxalase I	GLOD1|GLYI	OTTHUMP00000016339|glyoxalase domain containing 1|lactoyl glutathione lyase	6	6p21.3-p21.1	18721844,17722011,17346350,	3	9	0.02		1	0	0	2.6	
GABRA4	autism	ENSG00000109158	2557	0	1	1	0	0	0	0	0	1	0	1	"gamma-aminobutyric acid (GABA) A receptor, alpha 4"	-	"gamma-aminobutyric acid A receptor, alpha 4"	4	4p12	19736351,16770606,16080114,	3	4	0.02		2	0	0	2.6	
ITGA4	autism	ENSG00000115232	3676	0	1	1	0	0	0	0	0	0	0	0	"integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"	CD49D|IA4|MGC90518	"269C wild type|antigen CD49D, alpha-4 subunit of VLA-4 receptor|integrin alpha 4|integrin alpha-4 subunit|very late activation protein 4 receptor, alpha 4 subunit"	2	2q31.3	19259978,18846500,18348195,	3	2	0.02		0	0	0	2.6	
IMMP2L	autism	ENSG00000184903	83943	0	1	1	0	0	0	0	0	0	0	0	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	IMP2|IMP2-LIKE	IMP2 inner mitochondrial membrane protease-like|inner mitochondrial membrane peptidase 2 like	7	7q31	19546859,19401682,19058789,	3	2	0.02		0	0	0	2.6	
NRP2	autism	ENSG00000118257	8828	0	1	1	0	0	0	1	0	0	0	1	neuropilin 2	MGC126574|NP2|NPN2|PRO2714|VEGF165R2	neuropilin-2a(17)|neuropilin-2a(22)|neuropilin-2b(0)|receptor for VEGF165 and semaphorins class3|vascular endothelial growth factor-165 receptor 2	2	2q33.3	17427189,	1	4	0.0070		0	1	0	1.9000000000000001	
NPAS2	autism	ENSG00000170485	4862	0	0	1	0	0	0	0	0	0	0	1	neuronal PAS domain protein 2	FLJ23138|MGC71151|MOP4|PASD4|bHLHe9	member of PAS superfamily 4|neuronal PAS2	2	2q11.2	17264841,	1	2	0.0070		0	1	0	1.9000000000000001	
APC	autism	ENSG00000134982	324	0	1	1	0	0	0	0	0	0	0	1	adenomatous polyposis coli	BTPS2|DP2|DP2.5|DP3|GS	adenomatosis polyposis coli tumor suppressor	5	5q21-q22	17221838,	1	3	0.0070		0	1	0	1.9000000000000001	
HTR1B	autism	ENSG00000135312	3351	0	1	1	0	0	0	0	0	0	0	0	5-hydroxytryptamine (serotonin) receptor 1B	5-HT1B|5-HT1DB|HTR1D2|HTR1DB|S12	OTTHUMP00000016769	6	6q13	19058789,19038234,	2	2	0.013		0	0	0	1.7000000000000002	
PPP1R1B	autism	ENSG00000131771	84152	0	1	1	0	0	0	0	0	0	0	0	"protein phosphatase 1, regulatory (inhibitor) subunit 1B"	DARPP-32|DARPP32|FLJ20940	"OTTHUMP00000164276|dopamine and cAMP regulated phosphoprotein|dopamine and cAMP-regulated neuronal phosphoprotein 32|protein phosphatase 1, regulatory (inhibitor) subunit 1B (dopamine and cAMP regulated phosphoprotein, DARPP-32)"	17	17q12	19058789,19077115,	2	2	0.013		0	0	0	1.7000000000000002	
DOC2A	autism	ENSG00000149927	8448	0	1	1	0	0	0	0	0	0	0	0	"double C2-like domains, alpha"	-	-	16	16p11.2	19736351,19242545,	2	2	0.013		0	0	0	1.7000000000000002	
MAOB	autism	ENSG00000069535	4129	0	1	1	0	0	0	0	0	0	0	0	monoamine oxidase B	MGC26382	"MAO, brain|MAO, platelet|adrenalin oxidase|tyramine oxidase"	X	Xp11.23	19598235,19058789,	2	2	0.013		0	0	0	1.7000000000000002	
OPRM1	autism	ENSG00000112038	4988	0	1	1	0	0	0	0	0	0	0	0	"opioid receptor, mu 1"	KIAA0403|LMOR|MOR|MOR1|OPRM	mu opiate receptor	6	6q24-q25	19598235,19058789,	2	2	0.013		0	0	0	1.7000000000000002	
DRD1	autism	ENSG00000184845	1812	0	1	1	0	0	0	0	0	0	0	0	dopamine receptor D1	DADR|DRD1A	OTTHUMP00000161116	5	5q35.1	19058789,18205172,	2	2	0.013		0	0	0	1.7000000000000002	
DRD3	autism	ENSG00000151577	1814	0	1	1	0	1	1	0	0	0	0	0	dopamine receptor D3	D3DR|ETM1|FET1|MGC149204|MGC149205	essential tremor 1	3	3q13.3	19997080,19058789,	2	4	0.013		0	0	0	1.7000000000000002	
DRD2	autism	ENSG00000149295	1813	0	1	1	0	1	0	0	0	0	0	0	dopamine receptor D2	D2DR|D2R	dopamine receptor D2 isoform|seven transmembrane helix receptor	11	11q23	19997080,19058789,	2	3	0.013		0	0	0	1.7000000000000002	
DRD4	autism	ENSG00000069696	1815	0	1	1	0	0	0	0	0	0	0	0	dopamine receptor D4	D4DR	D(2C) dopamine receptor|seven transmembrane helix receptor	11	11p15.5	19058789,12668354,	2	2	0.013		0	0	0	1.7000000000000002	
PAH	autism	ENSG00000171759	5053	0	1	1	0	0	0	0	0	0	0	0	phenylalanine hydroxylase	PH|PKU|PKU1	-	12	12q22-q24.2	19674121,19360691,	2	2	0.013		0	0	0	1.7000000000000002	
SLC1A1	autism	ENSG00000106688	6505	0	1	1	0	0	0	0	0	0	0	0	"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"	EAAC1|EAAT3	"OTTHUMP00000021006|excitatory amino acid carrier 1|excitatory amino acid transporter-3|solute carrier family 1, member 1"	9	9p24	20155310,19360657,	2	2	0.013		0	0	0	1.7000000000000002	
DDC	autism	ENSG00000132437	1644	0	1	1	0	0	0	0	0	0	0	0	dopa decarboxylase (aromatic L-amino acid decarboxylase)	AADC	L-Dopa decarboxylase|aromatic L-amino acid decarboxylase	7	7p12.2	19184136,19058789,	2	2	0.013		0	0	0	1.7000000000000002	
ADRB2	autism	ENSG00000169252	154	0	1	1	0	0	0	0	0	0	0	0	"adrenergic, beta-2-, receptor, surface"	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	beta-2 adrenergic receptor|beta-2 adrenoceptor|catecholamine receptor	5	5q31-q32	17199132,16417856,	2	2	0.013		0	0	0	1.7000000000000002	
ALDH3A1	autism	ENSG00000108602	218	0	1	1	0	0	0	0	0	0	0	0	"aldehyde dehydrogenase 3 family, memberA1"	ALDH3|ALDHIII|MGC10406	"aldehyde dehydrogenase 3A1|aldehyde dehydrogenase isozyme 3|aldehyde dehydrogenase type III|aldehyde dehydrogenase, dimeric NADP-preferring|stomach aldehyde dehydrogenase"	17	17p11.2	19058789,19360691,	2	2	0.013		0	0	0	1.7000000000000002	
CYP21A2	autism	ENSG00000198457	1589	0	1	1	0	0	0	0	0	0	0	0	"cytochrome P450, family 21, subfamily A, polypeptide 2"	CA21H|CAH1|CPS1|CYP21|CYP21B|MGC150536|MGC150537|P450c21B	"21-hydroxylase|OTTHUMP00000062684|cytochrome P450, subfamily XXIA (steroid 21-hydroxylase, congenital adrenal hyperplasia), polypeptide 2|steroid 21-hydroxylase, CYP21|steroid 21-monooxygenase"	6	6p21.3	19598235,18179706,	2	2	0.013		0	0	0	1.7000000000000002	
RAPGEF4	autism	ENSG00000091428	11069	0	1	1	0	0	0	0	0	1	0	0	Rap guanine nucleotide exchange factor (GEF) 4	CAMP-GEFII|CGEF2|EPAC2|Nbla00496	OTTHUMP00000165043|OTTHUMP00000165045|RAP guanine-nucleotide-exchange factor (GEF) 4|cAMP-regulated guanine nucleotide exchange factor II|exchange protein directly activated by cAMP 2|putative protein product of Nbla00496	2	2q31-q32	19598235,19401682,	2	3	0.013		0	0	0	1.7000000000000002	
DLX2	autism	ENSG00000115844	1746	0	1	1	0	0	0	0	0	0	0	0	distal-less homeobox 2	TES-1|TES1	distal-less homeo box 2	2	2q32	19018235,18728693,	2	2	0.013		0	0	0	1.7000000000000002	
DLX1	autism	ENSG00000144355	1745	0	1	1	0	0	0	0	0	1	0	0	distal-less homeobox 1	-	OTTHUMP00000082494|OTTHUMP00000082497|distal-less homeo box 1	2	2q32	19058789,18728693,	2	3	0.013		0	0	0	1.7000000000000002	
GRM8	autism	ENSG00000179603	2918	0	1	1	0	0	0	0	0	0	0	1	"glutamate receptor, metabotropic 8"	FLJ41058|GLUR8|GPRC1H|MGC126724|MGLUR8|mGlu8	OTTHUMP00000024506|glutamate metabotropic receptor 8	7	7q31.3-q32.1	19058789,17955477,	2	3	0.013		1	0	0	1.7000000000000002	
APBA2	autism	ENSG00000034053	321	0	1	1	0	0	0	0	0	1	0	0	"amyloid beta (A4) precursor protein-binding, family A, member 2"	D15S1518E|HsT16821|LIN-10|MGC99508|MGC:14091|MINT2|X11L	"X11-like protein|adapter protein X11beta|amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)|amyloid beta A4 precursor protein-binding, family A, member 2|neuron-specific X11L protein|neuronal munc18-1-interacting protein 2|phosphotyrosine-binding/-interacting domain (PTB)-bearing protein"	15	15q11-q12	20029827,19736351,	2	3	0.013		0	0	0	1.7000000000000002	
NLGN1	autism	ENSG00000169760	22871	0	1	1	0	0	1	1	0	1	0	0	neuroligin 1	KIAA1070|MGC45115	-	3	3q26.31	19736351,19598235,	2	5	0.013		0	0	0	1.7000000000000002	
DAOA	autism	ENSG00000182346	267012	0	1	1	0	0	0	0	0	0	0	0	D-amino acid oxidase activator	G72|LG72|SG72	OTTHUMP00000038758|schizophrenia- and bipolar disorder-associated protein G72	13	13q33.2|13q34	17629951,15121480,	2	2	0.013		0	0	0	1.7000000000000002	
